timestamp,src_ip,dst_ip,src_port,dst_port,packet_count,total_bytes,duration_ms,label,protocol
1772674326.2278905,10.0.2.15,91.189.91.81,40440,80,1,146,0.0,0,TCP
1772674326.2278905,10.0.2.15,32.192.95.139,39998,443,8,929,291.26,0,TCP
1772674328.2306566,10.0.2.15,13.107.5.93,47942,443,3,1467,30.52,0,TCP
1772674328.2306566,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674328.2306566,10.0.2.15,104.18.27.120,54064,80,1,75,0.0,0,TCP
1772674328.2306566,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674328.2306566,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674328.2306566,10.0.2.15,104.18.27.120,33480,443,8,841,41.34,0,TCP
1772674328.2306566,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674328.2306566,10.0.2.15,91.189.91.81,40440,80,1,146,0.0,0,TCP
1772674328.2306566,10.0.2.15,32.192.95.139,39998,443,8,929,291.26,0,TCP
1772674330.2343702,10.0.2.15,13.107.5.93,47942,443,3,1467,30.52,0,TCP
1772674330.2343702,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674330.2343702,10.0.2.15,104.18.27.120,54064,80,1,75,0.0,0,TCP
1772674330.2343702,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674330.2343702,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674330.2343702,10.0.2.15,104.18.27.120,33480,443,8,841,41.34,0,TCP
1772674330.2343702,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674330.2343702,10.0.2.15,91.189.91.81,40440,80,1,146,0.0,0,TCP
1772674330.2343702,10.0.2.15,32.192.95.139,39998,443,8,929,291.26,0,TCP
1772674332.23735,10.0.2.15,13.107.5.93,47942,443,3,1467,30.52,0,TCP
1772674332.23735,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674332.23735,10.0.2.15,104.18.27.120,54064,80,1,75,0.0,0,TCP
1772674332.23735,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674332.23735,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674332.23735,10.0.2.15,104.18.27.120,33480,443,8,841,41.34,0,TCP
1772674332.23735,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674332.23735,10.0.2.15,3.94.221.249,32868,80,1,75,0.0,0,TCP
1772674332.23735,10.0.2.15,91.189.91.81,40440,80,1,146,0.0,0,TCP
1772674332.23735,10.0.2.15,32.192.95.139,39998,443,8,929,291.26,0,TCP
1772674334.2402735,10.0.2.15,13.107.5.93,47942,443,3,1467,30.52,0,TCP
1772674334.2402735,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674334.2402735,10.0.2.15,104.18.27.120,54064,80,1,75,0.0,0,TCP
1772674334.2402735,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674334.2402735,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674334.2402735,10.0.2.15,104.18.27.120,33480,443,8,841,41.34,0,TCP
1772674334.2402735,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674334.2402735,10.0.2.15,3.94.221.249,32868,80,1,75,0.0,0,TCP
1772674334.2402735,10.0.2.15,91.189.91.81,40440,80,1,146,0.0,0,TCP
1772674334.2402735,10.0.2.15,32.192.95.139,39998,443,8,929,291.26,0,TCP
1772674336.24517,10.0.2.15,13.107.5.93,47942,443,3,1467,30.52,0,TCP
1772674336.24517,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674336.24517,10.0.2.15,104.18.27.120,54064,80,1,75,0.0,0,TCP
1772674336.24517,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674336.24517,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674336.24517,10.0.2.15,104.18.27.120,33480,443,8,841,41.34,0,TCP
1772674336.24517,10.0.2.15,107.21.247.115,51656,443,8,933,78.87,0,TCP
1772674336.24517,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674336.24517,10.0.2.15,3.94.221.249,32868,80,1,75,0.0,0,TCP
1772674336.24517,10.0.2.15,91.189.91.81,40440,80,1,146,0.0,0,TCP
1772674336.24517,10.0.2.15,32.192.95.139,39998,443,8,929,291.26,0,TCP
1772674338.251785,10.0.2.15,13.107.5.93,47942,443,3,1467,30.52,0,TCP
