[21:31:35] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:35] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:35] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:35] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:37] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:37] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:37] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:37] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:37] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:37] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:39] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:39] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:39] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:39] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:39] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:39] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:41] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:41] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:41] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:42] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:42] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:42] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:44] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:44] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:44] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:44] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:44] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:44] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:46] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:46] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:46] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:46] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:46] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:46] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:48] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:48] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:48] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:48] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:48] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:48] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:50] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:50] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:50] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:50] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:50] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:50] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:52] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:31:52] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:53] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:53] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:31:53] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:53] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:53] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:53] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:55] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:31:55] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:55] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:55] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:31:55] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:55] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:55] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:55] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:57] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:31:57] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:57] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:57] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:31:57] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:57] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:57] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:57] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:59] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:31:59] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:59] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
